mandante,societa,conto,importo,data
130,1000,U.1.03.02.05.002,56.93,2016-06-21
130,1000,U.1.03.02.05.002,778.52,2016-06-21
130,1000,U.1.03.02.05.002,163.34,2016-06-21
130,1000,U.1.03.02.05.002,107.39,2016-06-21
130,1000,U.1.03.02.05.002,14.64,2016-06-21
130,1000,U.1.03.02.05.002,50.39,2016-06-21
130,1000,U.1.03.02.05.002,68.77,2016-06-21
130,1000,U.1.03.02.05.002,51.64,2016-06-21
130,1000,U.1.03.02.05.002,224.70,2016-06-21
130,1000,U.1.03.02.05.002,14.64,2016-06-21
130,1000,U.1.03.02.05.002,81.60,2016-06-21
130,1000,U.1.03.02.05.002,144.53,2016-06-21
130,1000,U.1.03.02.05.002,125.50,2016-06-21
130,1000,U.1.03.02.05.002,22.14,2016-06-21
130,1000,U.1.03.01.01.001,218.00,2016-06-20
130,1000,U.1.03.02.10.001,4410.00,2016-02-24
130,1000,U.1.03.02.11.999,9679.56,2016-04-05
130,1000,U.7.01.02.99.999,64.26,2016-04-12
130,1000,U.7.01.02.99.999,15.19,2016-04-12
130,1000,U.7.01.02.99.999,149.00,2016-04-12
130,1000,U.7.01.99.03.001,75000.00,2016-01-11
130,1000,U.7.01.01.02.001,81.40,2016-01-11
130,1000,U.1.04.04.01.001,1800.00,2016-01-12
130,1000,U.1.04.04.01.001,655.46,2016-01-12
130,1000,U.1.04.04.01.001,1500.00,2016-01-12
130,1000,U.1.04.01.02.003,2180.00,2016-01-12
130,1000,U.7.01.02.99.999,10.33,2016-04-12
130,1000,U.7.01.02.99.999,185.53,2016-04-12
130,1000,U.7.01.02.99.999,235.09,2016-04-12
130,1000,U.7.01.02.99.999,10.14,2016-04-12
130,1000,U.7.01.02.99.999,261.63,2016-04-12
130,1000,U.1.04.04.01.001,400.00,2016-02-03
130,1000,U.7.01.02.01.001,354318.35,2016-02-05
130,1000,U.1.02.01.01.001,56821.05,2016-02-05
130,1000,U.1.02.01.01.001,45766.04,2016-02-05
130,1000,U.7.01.01.02.001,53890.00,2016-02-05
130,1000,U.1.03.02.13.999,2690.34,2016-02-09
130,1000,U.1.03.02.07.006,416.02,2016-02-09
130,1000,U.1.03.02.07.006,6.16,2016-02-09
130,1000,U.1.03.02.07.004,437.01,2016-02-24
130,1000,U.1.03.02.07.004,437.01,2016-02-24
130,1000,U.1.03.02.10.001,21250.00,2016-02-24
130,1000,U.1.03.02.11.999,3525.00,2016-02-24
130,1000,U.1.03.01.01.001,1144.26,2016-02-24
130,1000,U.1.03.02.07.001,5947.07,2016-02-24
130,1000,U.1.03.02.07.001,536.61,2016-02-24
130,1000,U.1.03.02.13.999,8079.75,2016-02-24
130,1000,U.1.03.02.11.999,8908.80,2016-02-24
130,1000,U.1.03.02.07.007,957.11,2016-02-25
130,1000,U.1.03.02.07.007,11.75,2016-02-25
130,1000,U.1.03.01.01.002,466.46,2016-02-25
130,1000,U.1.01.01.02.002,10774.05,2016-02-25
130,1000,U.1.01.01.02.002,1744.64,2016-02-25
130,1000,U.1.01.01.02.002,95.01,2016-02-25
130,1000,U.7.01.03.01.001,1799.67,2016-07-05
130,1000,U.7.01.01.02.001,62880.33,2016-07-05
130,1000,U.1.04.04.01.001,400.00,2016-07-14
130,1000,U.1.04.01.02.003,1000.00,2016-07-14
130,1000,U.1.01.02.01.001,247.00,2016-07-07
130,1000,U.1.02.01.01.001,42805.73,2016-07-07
130,1000,U.7.01.02.02.001,12034.52,2016-07-07
130,1000,U.7.01.02.02.001,2444.57,2016-07-07
130,1000,U.7.01.02.02.001,2096.35,2016-07-07
130,1000,U.1.03.02.01.001,6327.00,2016-02-22
130,1000,U.1.03.02.01.002,1687.20,2016-02-22
130,1000,U.1.03.02.01.001,10376.28,2016-02-22
130,1000,U.1.03.02.01.001,6135.00,2016-02-22
130,1000,U.1.03.02.01.001,1265.40,2016-02-22
130,1000,U.1.03.02.01.001,63234.00,2016-02-24
130,1000,U.7.02.99.99.999,843.60,2016-02-24
130,1000,U.1.04.02.01.001,539406.13,2016-02-24
130,1000,U.7.02.99.99.999,3068.94,2016-02-24
130,1000,U.7.02.99.99.999,11300.00,2016-02-24
130,1000,U.1.03.02.05.003,1512.80,2016-02-24
130,1000,U.1.03.02.05.003,2423.80,2016-02-24
130,1000,U.1.03.02.07.006,8262.00,2016-02-24
130,1000,U.1.03.02.07.006,5368.00,2016-02-24
130,1000,U.1.03.02.13.999,2072.07,2016-02-24
130,1000,U.1.03.02.07.008,6866.02,2016-02-24
130,1000,U.1.03.02.11.999,290.00,2016-02-24
130,1000,U.1.01.01.02.002,20758.67,2016-02-25
130,1000,U.1.01.01.02.002,1588.07,2016-02-25
130,1000,U.1.01.01.02.002,4771.81,2016-02-25
130,1000,U.1.01.01.02.002,1153.00,2016-02-25
130,1000,U.1.01.01.02.002,2388.67,2016-02-25
130,1000,U.1.03.02.11.999,234.00,2016-02-25
130,1000,U.1.03.02.11.999,100.00,2016-02-25
130,1000,U.1.03.02.05.001,4713.71,2016-02-25
130,1000,U.1.03.01.01.001,591.30,2016-02-26
130,1000,U.1.03.02.11.999,5670.00,2016-02-26
130,1000,U.1.03.02.11.999,1300.00,2016-02-26
130,1000,U.1.03.02.10.001,12500.00,2016-02-26
130,1000,U.1.03.02.10.001,1250.00,2016-02-26
130,1000,U.1.04.04.01.001,665.52,2016-02-26
130,1000,U.1.04.04.01.001,531.92,2016-02-26
130,1000,U.1.04.04.01.001,600.00,2016-02-26
130,1000,U.1.02.01.01.001,16682.64,2016-04-12
130,1000,U.1.01.02.01.001,15710.45,2016-04-12
130,1000,U.1.01.02.01.001,881.00,2016-04-12
130,1000,U.1.01.02.01.001,584.66,2016-04-12
130,1000,U.1.01.02.01.001,3879.00,2016-04-12
130,1000,U.1.01.02.01.001,1046.24,2016-04-12
130,1000,U.1.01.02.01.002,39.24,2016-04-12
130,1000,U.1.01.02.01.001,143.41,2016-04-12
130,1000,U.1.01.02.01.001,685.00,2016-04-12
130,1000,U.1.04.04.01.001,2907.60,2016-03-24
130,1000,U.1.02.01.01.001,882.00,2016-03-16
130,1000,U.7.01.01.02.001,1530.81,2016-03-16
130,1000,U.1.01.01.02.002,6066.28,2016-03-17
130,1000,U.1.01.01.02.002,3811.75,2016-03-18
130,1000,U.1.01.01.02.002,1299.03,2016-03-18
130,1000,U.1.01.01.02.002,966.26,2016-03-18
130,1000,U.1.01.01.02.002,13507.01,2016-03-18
130,1000,U.1.03.02.11.999,1484.81,2016-02-24
130,1000,U.1.03.02.07.006,3904.00,2016-02-25
130,1000,U.1.03.02.07.006,48.00,2016-02-25
130,1000,U.1.03.02.11.999,7188.48,2016-02-25
130,1000,U.1.03.02.11.999,2500.00,2016-02-25
130,1000,U.1.01.02.01.999,100.80,2016-02-25
130,1000,U.1.03.02.11.999,3096.58,2016-02-25
130,1000,U.1.01.02.01.999,100.80,2016-02-25
130,1000,U.1.04.04.01.001,500.00,2016-03-02
130,1000,U.1.03.02.18.001,9998.00,2016-05-04
130,1000,U.1.03.02.07.006,732.00,2016-05-04
130,1000,U.7.01.02.01.001,350576.86,2016-03-16
130,1000,U.1.02.01.01.001,56263.86,2016-03-16
130,1000,U.1.02.01.01.001,681.21,2016-03-16
130,1000,U.1.02.01.01.001,521.48,2016-03-16
130,1000,U.1.02.01.01.001,107.56,2016-03-16
130,1000,U.7.02.99.99.999,3068.94,2016-03-16
130,1000,U.7.01.01.02.001,56450.52,2016-03-16
130,1000,U.1.03.01.01.002,109.05,2016-03-17
130,1000,U.1.04.04.01.001,1500.00,2016-05-12
130,1000,U.1.04.04.01.001,855.30,2016-05-12
130,1000,U.1.03.02.16.999,1275.45,2016-03-11
130,1000,U.1.03.02.07.006,8.54,2016-05-06
130,1000,U.1.03.02.04.002,1700.00,2016-05-09
130,1000,U.1.04.04.01.001,800.00,2016-05-12
130,1000,U.1.03.02.19.006,41803.30,2016-05-06
130,1000,U.1.03.02.11.999,5880.00,2016-05-06
130,1000,U.7.01.01.02.001,23569.25,2016-05-05
130,1000,U.1.03.01.02.001,326.88,2016-03-18
130,1000,U.1.03.01.01.001,559.40,2016-03-18
130,1000,U.1.03.02.11.999,8294.40,2016-03-18
130,1000,U.7.01.02.99.999,439.69,2016-07-07
130,1000,U.7.01.02.99.999,113.18,2016-07-07
130,1000,U.1.03.02.07.999,1734.69,2016-07-07
130,1000,U.1.03.02.07.999,51.39,2016-07-07
130,1000,U.1.03.02.02.001,108.00,2016-07-15
130,1000,U.1.03.02.02.001,12.00,2016-07-15
130,1000,U.1.03.02.02.001,238.00,2016-07-15
130,1000,U.1.03.02.02.001,12.00,2016-07-15
130,1000,U.1.03.02.02.001,89.50,2016-07-15
130,1000,U.1.03.02.02.001,43.50,2016-07-15
130,1000,U.1.03.02.02.001,89.00,2016-07-15
130,1000,U.1.03.02.02.001,12.00,2016-07-15
130,1000,U.1.03.02.02.001,410.57,2016-07-15
130,1000,U.1.03.02.02.001,75.00,2016-07-15
130,1000,U.1.03.02.02.001,132.44,2016-07-15
130,1000,U.1.03.02.02.001,178.00,2016-07-15
130,1000,U.1.03.02.02.001,12.00,2016-07-15
130,1000,U.1.03.02.02.001,714.00,2016-07-15
130,1000,U.1.03.02.02.001,36.00,2016-07-15
130,1000,U.1.03.02.02.001,238.00,2016-07-15
130,1000,U.1.03.02.02.001,12.00,2016-07-15
130,1000,U.1.03.02.02.001,238.00,2016-07-15
130,1000,U.1.03.02.02.001,12.00,2016-07-15
130,1000,U.1.03.02.13.005,22.26,2016-07-15
130,1000,U.1.01.02.01.003,790.82,2016-07-07
130,1000,U.1.01.02.01.003,661.40,2016-07-07
130,1000,U.1.01.02.01.003,1223.64,2016-07-07
130,1000,U.1.03.02.07.008,2269.20,2016-07-11
130,1000,U.1.03.02.02.001,15.80,2016-07-15
130,1000,U.1.03.02.02.001,197.82,2016-07-15
130,1000,U.1.03.02.02.001,25.00,2016-07-15
130,1000,U.1.03.02.02.001,91.00,2016-07-15
130,1000,U.1.03.02.07.006,1.70,2016-02-09
130,1000,U.1.03.02.07.006,1.70,2016-02-09
130,1000,U.1.03.02.07.006,1.70,2016-02-09
130,1000,U.1.03.02.07.006,1.70,2016-02-09
130,1000,U.1.03.02.07.006,1.71,2016-02-09
